family	gray_zone_count
GT2	103500
AA3_2	88440
GH3	87613
GT1	74616
GH47	59278
GH0	58263
GH18	57513
GT31	51597
GT0	48497
AA9	47309
CBM50	46722
CBM1	44377
GH76	43648
GH16_1	37927
CBM48	36410
CE4	36066
GT4	36029
GH2	35220
GT22	34944
CBM18	34267
GH92	33529
GH79	33113
GT8	33089
GT20	31424
GT15	29538
GH78	28288
GH28	26899
AA1	26799
GH105	25632
AA1_3	25599
GH20	24546
GT34	24261
GH5_12	24144
GH36	23041
GT57	22829
GH27	22233
GH17	22073
GH72	21424
GT90	21374
CE16	21157
GH128	20998
GT32	20712
GH71	20146
CE8	20130
GT39	18557
GH37	17402
GH75	17366
GH32	16523
GH125	15972
CBM13	15734
GH16	15674
CE5	15388
GT35	15322
GH38	15114
AA2	15059
GH43_26	14714
CBM91	14433
GH5_9	14378
GH16_18	14273
GH10	14132
GH29	14083
AA1_2	14041
GH55_2	13739
GH13_5	13652
AA3_3	13648
GH12	13425
GT25	13358
GH31_1	13175
GH154	12930
GH1	12765
PL7_4	12433
GH13_40	12216
GT69	12022
CBM20	11336
CE0	11311
GT71	11257
GT76	10816
GH16_22	10739
GH5_5	10463
GH89	10414
AA3	10308
GT62	10120
GH152	10102
GH95	10014
GH31_4	9847
GH13_25	9607
GH35	9476
GT3	9058
GH15	8597
AA5	8574
AA4	8530
GH5	8504
GH16_2	8204
GH114	8137
CBM35	8123
GH88	8114
GH93	7962
GH16_4	7920
GH146	7900
AA3_1	7833
AA11	7802
CE9	7746
AA5_2	7617
GH131	7519
GH5_22	7516
GT48	7338
GH51_1	7326
GH53	7298
AA5_1	7232
GT50	7218
GH67	7212
GT91	7182
GH130_3	7117
CBM14	6945
PL38	6871
CBM43	6772
GT59	6729
CE12	6507
GH43_30	6357
GT41	6344
CBM5	6328
GH11	6309
PL1_7	6157
GT49	5833
GH127	5767
GH64	5696
GH85	5596
PL4_5	5523
GH135	5492
AA6	5293
AA12	5288
CBM67	5286
GH31_15	5283
GT58	5218
GH81	4829
GT24	4811
CBM42	4737
GH63	4675
PL1_4	4651
GH24	4642
GH45_1	4598
GH106	4591
GH31_3	4583
GH115	4561
GT47	4404
AA1_1	4393
GT17	4375
GT7	4334
GH51_2	4314
CE1	4304
GH132	4298
CBM12	4260
GT66	4023
GH30_3	4004
GH13_1	3957
GH13_22	3799
AA8	3622
GH16_20	3391
CBM21	3369
PL3_2	3327
GH13	3309
GH43_6	3197
GH136	3173
GH184	3139
CBM24	3106
PL20	3000
PL9_3	2915
GH13_31	2802
GH30_7	2765
GH45_3	2714
GT13	2689
AA14	2657
GH13_11	2639
GH16_10	2632
GH46	2609
GH25	2589
CBM0	2582
GH43_21	2495
GT27	2470
GH39	2392
GH5_31	2283
GT30	2262
GH31_2	2210
GH5_30	2207
GT18	2168
PL4_3	2132
CE3	2093
GH65	2013
GH23	1956
AA16	1865
GH5_49	1814
GT119	1811
PL35	1768
GT98	1725
GT21	1717
GH43_5	1691
PL8_4	1688
GT23	1653
AA0	1623
GH9	1618
CBM52	1610
GH16_3	1607
GH5_27	1481
GH43_25	1475
GT77	1440
GH43_24	1423
GH13_4	1330
GH5_15	1313
GH5_24	1307
GH13_26	1300
GH162	1252
GH55_1	1246
GT14	1237
GH31	1231
CBM57	1227
GH31_5	1214
GH7	1197
GH5_7	1101
AA7	1100
GH43_29	1047
GT33	1042
GH43_17	1025
GH5_50	972
GH31_13	918
GH6	852
GT43	736
CBM32	724
CBM66	709
GH43_13	706
PL42	693
GH84	658
CED85351.1	654
GH172	602
GH30_5	540
PL14_5	514
GT61	512
GH43	501
GT5	479
GH42	479
GT29	458
GH45_4	419
GH51	412
GH43_14	411
CBM92	410
GH5_11	405
GT95	385
CE2	365
CBM6	365
GH30_11	359
GH43_1	306
GH33	277
GH74	268
GH62	248
GT64	225
GH45_2	217
GH101	207
GH177(6-314)	186
PL1	185
PL26	176
CE4(45-149)	169
GT106	153
CED85556.1	140
CE1(23-281)	132
CBM63	128
PL1_6	127
GT116	127
CE1(25-282)	120
PL4_1	117
GH16_23	104
GH177(6-313)	103
GT10	91
CE1(23-283)	79
GH177(5-314)	79
PL1_1	77
GT101	74
GH177(6-276)	73
GH26	70
GH31_8	70
GH55	68
GT55	67
CE1(25-281)	64
CE1(23-282)	64
CE1(24-282)	63
GH45	61
CE1(24-283)	61
GH188(3-213)	61
PL14	60
CE1(24-281)	60
CE4(44-149)	59
GH188(7-262)	58
GH177(5-313)	55
GH141	54
GH94	54
GH177(6-310)	54
GH5_23	53
GH134	53
GH183	53
CE1(24-280)	52
PL1_2	50
CE1(23-279)	49
CE1(24-284)	48
GH188(26-240)	47
GH188(5-250)	46
CBM10	46
GH103	45
GH188(2-148)	45
CE1(25-283)	45
GH171	45
CE4(45-150)	44
CE1(31-288)	44
GH177(8-281)	44
GH188(5-204)	44
CBM38	43
GH177(6-271)	43
GH177(6-272)	43
CBM14_e50(31-78)	43
GH188(12-171)	42
CEF74939.1	42
GT75	41
GH5_16	40
GH177(6-269)	39
GH177(6-312)	39
PL11_2	39
CE1(23-284)	36
GH77	36
GH177(6-308)	35
GH177(6-274)	35
CBM50_e958(34-79)	34
CE1(23-285)	34
GH188(10-221)	34
CE1(23-286)	34
GH177(5-268)	33
GH177(4-313)	33
CBM21_e21(36-129)	33
GH188(6-225)	33
CBM50_e958(30-75)	32
CE1(24-287)	32
GH177(46-306)	32
CED83340.1	32
GH188(10-214)	32
GH177(5-312)	31
GH188(5-216)	31
CE1(23-287)	31
CBM48_e81(9-70)	30
GH188(5-215)	30
GH109(3-166)	30
GH13_8	29
GH188(10-217)	29
CBM26	29
GH188(14-225)	29
CE1(34-286)	28
GH177(46-169)	28
CE1(33-285)	27
CBM50_e958(6-49)	27
AA7(32-228)	27
GH188(4-214)	27
GH188(10-222)	27
CBM50_e958(30-74)	26
