tax_class	tier	subtier	count
Agaricomycetes	gray_zone	2A_gray_high	286160
Agaricomycetes	gray_zone	2B_gray_low	246166
Agaricomycetes	high_confidence_cazyme	1A_all_tools_agree	180672
Agaricomycetes	high_confidence_cazyme	1B_two_tools_agree	23274
Agaricomycetes	high_confidence_non_cazyme	3_zero_hits	6840936
Blastocladiomycota	gray_zone	2A_gray_high	688
Blastocladiomycota	gray_zone	2B_gray_low	769
Blastocladiomycota	high_confidence_cazyme	1A_all_tools_agree	413
Blastocladiomycota	high_confidence_cazyme	1B_two_tools_agree	74
Blastocladiomycota	high_confidence_non_cazyme	3_zero_hits	31150
Chytridiomycetes	gray_zone	2A_gray_high	5654
Chytridiomycetes	gray_zone	2B_gray_low	5726
Chytridiomycetes	high_confidence_cazyme	1A_all_tools_agree	4371
Chytridiomycetes	high_confidence_cazyme	1B_two_tools_agree	958
Chytridiomycetes	high_confidence_non_cazyme	3_zero_hits	210307
Cryptomycota	gray_zone	2A_gray_high	100
Cryptomycota	gray_zone	2B_gray_low	110
Cryptomycota	high_confidence_cazyme	1A_all_tools_agree	27
Cryptomycota	high_confidence_cazyme	1B_two_tools_agree	37
Cryptomycota	high_confidence_non_cazyme	3_zero_hits	3476
Dacrymycetes	gray_zone	2A_gray_high	4143
Dacrymycetes	gray_zone	2B_gray_low	4555
Dacrymycetes	high_confidence_cazyme	1A_all_tools_agree	2826
Dacrymycetes	high_confidence_cazyme	1B_two_tools_agree	378
Dacrymycetes	high_confidence_non_cazyme	3_zero_hits	109084
Dothideomycetes	gray_zone	2A_gray_high	138698
Dothideomycetes	gray_zone	2B_gray_low	98468
Dothideomycetes	high_confidence_cazyme	1A_all_tools_agree	72392
Dothideomycetes	high_confidence_cazyme	1B_two_tools_agree	10667
Dothideomycetes	high_confidence_non_cazyme	3_zero_hits	1724238
Entomophthoromycotina	gray_zone	2A_gray_high	1764
Entomophthoromycotina	gray_zone	2B_gray_low	1722
Entomophthoromycotina	high_confidence_cazyme	1A_all_tools_agree	1501
Entomophthoromycotina	high_confidence_cazyme	1B_two_tools_agree	182
Entomophthoromycotina	high_confidence_non_cazyme	3_zero_hits	48545
Eurotiomycetes	gray_zone	2A_gray_high	371644
Eurotiomycetes	gray_zone	2B_gray_low	279228
Eurotiomycetes	high_confidence_cazyme	1A_all_tools_agree	164939
Eurotiomycetes	high_confidence_cazyme	1B_two_tools_agree	25887
Eurotiomycetes	high_confidence_non_cazyme	3_zero_hits	3818574
Glomeromycotina	gray_zone	2A_gray_high	2892
Glomeromycotina	gray_zone	2B_gray_low	2936
Glomeromycotina	high_confidence_cazyme	1A_all_tools_agree	1469
Glomeromycotina	high_confidence_cazyme	1B_two_tools_agree	264
Glomeromycotina	high_confidence_non_cazyme	3_zero_hits	292442
Kickxellomycotina	gray_zone	2A_gray_high	2559
Kickxellomycotina	gray_zone	2B_gray_low	3268
Kickxellomycotina	high_confidence_cazyme	1A_all_tools_agree	1870
Kickxellomycotina	high_confidence_cazyme	1B_two_tools_agree	414
Kickxellomycotina	high_confidence_non_cazyme	3_zero_hits	94806
Lecanoromycetes	gray_zone	2A_gray_high	7919
Lecanoromycetes	gray_zone	2B_gray_low	6830
Lecanoromycetes	high_confidence_cazyme	1A_all_tools_agree	2717
Lecanoromycetes	high_confidence_cazyme	1B_two_tools_agree	774
