protein_id	tier	family	foldseek_3di_best_hit	foldseek_3di_pident	foldseek_3di_evalue	foldseek_3di_bits_norm	saprot_cosine_to_cazyme_centroid	structure_evidence_score
jgi-Penfla1-9715-PENFLA_c007G06309T0	gray_zone	-	C5RCF3	50.2	7.714e-31	0.1187	0.7703	0.5019
jgi-Lbo_TFB10827_1-1775501-fgenesh1_kg.210_#_57_#_TRINITY_DN3724_c0_g2_i2	gray_zone	-	A0A7H8QK02	73.1	1.711e-124	0.3569	0.7764	0.6226
jgi-RusdecM1-1124162-estExt_fgenesh1_pm.C_650023	gray_zone	-	A0A1D9P8I7	37.7	3.842e-09	0.0558	0.7576	0.4673
jgi-NeFL0916_1-587465-fgenesh1_pm.25_#_15	high_confidence_cazyme	GH30_3	A0A7C8H4K4	63.1	3.817e-162	0.4520	0.8069	0.6777
jgi-Hygaur1-1154988-fgenesh1_kg.164_#_47_#_Locus2311v1rpkm106.06	gray_zone	-	Q21HM8	55.0	0.0003326	0.0393	0.8118	0.4726
jgi-Rhota1-2663-transcript:POY74430	gray_zone	-	-	0.0	nan	0.0000	0.4256	0.3564
jgi-Aspmin1-18082-CE18081_1568	high_confidence_cazyme	AA3_1	WEW54593.1	63.9	2.329e-236	0.6510	0.9009	0.8007
jgi-Tripra1-219770-CE219769_12708	gray_zone	-	A0A2S0UEJ4	40.1	5.406e-08	0.0497	0.8156	0.4788
jgi-Aspfla1-218453-fgenesh1_kg.6_#_253_#_TRINITY_DN12855_c1_g1_i1	gray_zone	-	-	0.0	nan	0.0000	0.8182	0.4545
jgi-Trich5757_1-167830-CE167829_3873	gray_zone	-	A0A8H8T2A6	77.0	6.326e-145	0.4040	0.8483	0.6641
jgi-Mycepi1-758985-fgenesh1_kg.2_#_369_#_TRINITY_DN13256_c1_g1_i3	gray_zone	-	A0A346N6E9	56.5	1.045e-25	0.0960	0.7603	0.4881
jgi-Cokrec1-502562-fgenesh1_kg.7_#_13_#_TRINITY_DN5739_c0_g2_i6	gray_zone	-	WFD23442.1	44.6	2.079e-95	0.2984	0.7202	0.5793
jgi-Acrvag1-891935-fgenesh1_pg.6_#_141	gray_zone	-	A0A5K7SBA2	52.0	2.222e-09	0.0567	0.8122	0.4814
jgi-Morpal1-127008-CE127007_5448	gray_zone	-	A0A3P6A9S1	56.0	1.563e-46	0.1510	0.7292	0.5078
jgi-HypEC38_3-327054-e_gw1.8.123.1	gray_zone	-	A0A9Q8WAU1	71.1	1.062e-130	0.3735	0.7842	0.6328
jgi-Lashi1-456814-e_gw1.4.1365.1	gray_zone	-	-	0.0	nan	0.0000	0.7887	0.4472
jgi-FvanT200_1-327391-MIX11713_2_18	gray_zone	-	A0A6I5VSG5	46.0	5.127e-58	0.1815	0.9120	0.5688
jgi-Triam1-301649-CE301648_20813	gray_zone	-	WIA18545.1	51.7	1.36e-243	0.6815	0.8370	0.8000
jgi-Fusoxrad1-20786-rna-gnl-WGS:AGNB-mrna_FOCG_08641T0	gray_zone	-	A0A8S2A629	43.9	8.317e-39	0.1353	0.8994	0.5425
jgi-Cernew1-331763-e_gw1.5.116.1	high_confidence_cazyme	AA9_e36	G4TKC1	64.2	1.43e-67	0.2007	0.7640	0.5413
jgi-Endpal1-4694-EPA1_001532-RA	high_confidence_cazyme	CE9_e40	A0A8A3PIZ1	45.6	1.462e-79	0.2426	0.7750	0.5650
jgi-Pisori2-797025-fgenesh1_kg.2_#_1946_#_TRINITY_DN6616_c1_g2_i5	gray_zone	-	UOO87808.1	30.9	5.824e-06	0.0454	0.8926	0.4958
jgi-DaFL1419_1-10491-CE10490_25976	gray_zone	-	A0A8S2B2W4	52.7	5.234e-61	0.1894	0.7383	0.5292
jgi-Paxru2-830172-Paxru1.fgenesh1_kg.480_#_16_#_Locus1108v1rpkm153.77	gray_zone	-	A0A160T059	58.2	4.098e-116	0.3360	0.8865	0.6396
jgi-FoxF206_1-649117-fgenesh1_kg.5_#_3341_#_TRINITY_DN5155_c0_g1_i1	gray_zone	-	A0A221T200	48.0	2.73e-08	0.0515	0.8394	0.4856
jgi-Didma1-19656-g2853.t1	gray_zone	-	A0A9Q8T2G0	56.4	1.79e-61	0.1955	0.7942	0.5463
jgi-Morulm1-399121-fgenesh1_kg.1_#_2799_#_TRINITY_DN5584_c1_g1_i1	high_confidence_non_cazyme	-	A0A1G0CHH3	52.5	0.000191	0.0410	0.6642	0.4366
jgi-Linth1-590794-fgenesh1_pm.36_#_34	gray_zone	-	A0A899G6P5	64.5	1.013e-170	0.4843	0.7959	0.6911
jgi-LobpulSw1-4034924-e_gw1.619.5.1	gray_zone	-	Q7XVF9	49.3	1.634e-60	0.1937	0.8613	0.5622
jgi-Asprub1-164161-estExt_Genewise1Plus.C_2090014	gray_zone	-	A0A9Q9DPK0	59.9	5.386e-159	0.4503	0.8299	0.6826
jgi-Myclep1-1716856-estExt_Genewise1Plus.C_3490030	gray_zone	-	A0A8H8P736	57.5	3.076e-136	0.3883	0.7998	0.6441
jgi-Mycami1-1217883-estExt_fgenesh1_pm.C_5_t10391	gray_zone	-	A0A2K9NLG9	28.3	3.201e-18	0.0820	0.8605	0.5061
jgi-Metri1-6365-rna-gnl-WGS:AZHC-NOR_mRNA08163_NOR_08163	gray_zone	-	A0A9Q8T6W8	46.3	8.182e-53	0.1798	0.7387	0.5246
jgi-Pincor1_1-96443-CE96442_3134	gray_zone	-	A0A8F2W220	69.0	2.322e-229	0.6309	0.8504	0.7780
jgi-Suivar1-1540653-gm1.9362_g	gray_zone	-	A0A7H8QK02	68.4	2.429e-119	0.3447	0.7686	0.6145
jgi-Aspneoi1-72895-CE72894_1613	gray_zone	-	A0A3M6VGR8	51.4	3.073e-104	0.3141	0.7982	0.6066
jgi-Pismar1-1595804-CE1595803_1693	gray_zone	-	A0A9Q8T231	50.2	1.501e-93	0.2827	0.7991	0.5911
jgi-FvanT299_1-120935-CE120934_1450	gray_zone	-	A0A1S9DVV1	62.2	3.281e-71	0.2243	0.7779	0.5566
