protein_id	tier	adjudicated_tier	family	foldseek_3di_best_hit	foldseek_3di_pident	foldseek_3di_evalue	foldseek_3di_bits_norm	saprot_cosine_to_cazyme_centroid	structure_evidence_score
jgi-Penfla1-9715-PENFLA_c007G06309T0	gray_zone	gray_zone_structure_supports_non_cazyme	-	C5RCF3	50.2	7.714e-31	0.1187	0.79	0.5068
jgi-Lbo_TFB10827_1-1775501-fgenesh1_kg.210_#_57_#_TRINITY_DN3724_c0_g2_i2	gray_zone	gray_zone_structure_supports_cazyme	-	A0A7H8QK02	73.1	1.7110000000000001e-124	0.3569	0.7824	0.624
jgi-RusdecM1-1124162-estExt_fgenesh1_pm.C_650023	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A1D9P8I7	37.7	3.842e-09	0.0558	0.7746	0.4716
jgi-NeFL0916_1-587465-fgenesh1_pm.25_#_15	high_confidence_cazyme	high_confidence_cazyme	GH30_3	A0A7C8H4K4	63.1	3.8170000000000003e-162	0.452	0.8126	0.6792
jgi-Hygaur1-1154988-fgenesh1_kg.164_#_47_#_Locus2311v1rpkm106.06	gray_zone	gray_zone_structure_supports_non_cazyme	-	Q21HM8	55.0	0.0003326	0.0393	0.8213	0.475
jgi-Rhota1-2663-transcript:POY74430	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.4389	0.3597
jgi-Aspmin1-18082-CE18081_1568	high_confidence_cazyme	high_confidence_cazyme	AA3_1	WEW54593.1	63.9	2.329e-236	0.651	0.9085	0.8026
jgi-Tripra1-219770-CE219769_12708	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A2S0UEJ4	40.1	5.406e-08	0.0497	0.8344	0.4835
jgi-Aspfla1-218453-fgenesh1_kg.6_#_253_#_TRINITY_DN12855_c1_g1_i1	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.8348	0.4587
jgi-Trich5757_1-167830-CE167829_3873	gray_zone	gray_zone_structure_supports_cazyme	-	A0A8H8T2A6	77.0	6.326e-145	0.404	0.8504	0.6646
jgi-Mycepi1-758985-fgenesh1_kg.2_#_369_#_TRINITY_DN13256_c1_g1_i3	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A346N6E9	56.5	1.045e-25	0.096	0.7739	0.4915
jgi-Cokrec1-502562-fgenesh1_kg.7_#_13_#_TRINITY_DN5739_c0_g2_i6	gray_zone	gray_zone_ambiguous_structure	-	WFD23442.1	44.6	2.079e-95	0.2984	0.7439	0.5852
jgi-Acrvag1-891935-fgenesh1_pg.6_#_141	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A5K7SBA2	52.0	2.222e-09	0.0567	0.8333	0.4867
jgi-Morpal1-127008-CE127007_5448	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A3P6A9S1	56.0	1.563e-46	0.151	0.7285	0.5076
jgi-HypEC38_3-327054-e_gw1.8.123.1	gray_zone	gray_zone_structure_supports_cazyme	-	A0A9Q8WAU1	71.1	1.062e-130	0.3735	0.7917	0.6347
jgi-Lashi1-456814-e_gw1.4.1365.1	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.8143	0.4536
jgi-FvanT200_1-327391-MIX11713_2_18	gray_zone	gray_zone_ambiguous_structure	-	A0A6I5VSG5	46.0	5.1270000000000006e-58	0.1815	0.904	0.5667
jgi-Triam1-301649-CE301648_20813	gray_zone	gray_zone_structure_supports_cazyme	-	WIA18545.1	51.7	1.36e-243	0.6815	0.8472	0.8025
jgi-Fusoxrad1-20786-rna-gnl-WGS:AGNB-mrna_FOCG_08641T0	gray_zone	gray_zone_ambiguous_structure	-	A0A8S2A629	43.9	8.317e-39	0.1353	0.9153	0.5465
jgi-Cernew1-331763-e_gw1.5.116.1	high_confidence_cazyme	high_confidence_cazyme	AA9_e36	G4TKC1	64.2	1.4299999999999999e-67	0.2007	0.7755	0.5442
jgi-Endpal1-4694-EPA1_001532-RA	high_confidence_cazyme	high_confidence_cazyme	CE9_e40	A0A8A3PIZ1	45.6	1.462e-79	0.2426	0.7653	0.5626
jgi-Pisori2-797025-fgenesh1_kg.2_#_1946_#_TRINITY_DN6616_c1_g2_i5	gray_zone	gray_zone_structure_supports_non_cazyme	-	UOO87808.1	30.9	5.824e-06	0.0454	0.8957	0.4966
jgi-DaFL1419_1-10491-CE10490_25976	gray_zone	gray_zone_ambiguous_structure	-	A0A8S2B2W4	52.7	5.234e-61	0.1894	0.7374	0.529
jgi-Paxru2-830172-Paxru1.fgenesh1_kg.480_#_16_#_Locus1108v1rpkm153.77	gray_zone	gray_zone_structure_supports_cazyme	-	A0A160T059	58.2	4.098e-116	0.336	0.8969	0.6422
jgi-FoxF206_1-649117-fgenesh1_kg.5_#_3341_#_TRINITY_DN5155_c0_g1_i1	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A221T200	48.0	2.73e-08	0.0515	0.8448	0.4869
jgi-Didma1-19656-g2853.t1	gray_zone	gray_zone_ambiguous_structure	-	A0A9Q8T2G0	56.4	1.7899999999999997e-61	0.1955	0.8055	0.5491
jgi-Morulm1-399121-fgenesh1_kg.1_#_2799_#_TRINITY_DN5584_c1_g1_i1	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A1G0CHH3	52.5	0.000191	0.041	0.6749	0.4392
jgi-Linth1-590794-fgenesh1_pm.36_#_34	gray_zone	gray_zone_structure_supports_cazyme	-	A0A899G6P5	64.5	1.013e-170	0.4843	0.8132	0.6955
jgi-LobpulSw1-4034924-e_gw1.619.5.1	gray_zone	gray_zone_ambiguous_structure	-	Q7XVF9	49.3	1.634e-60	0.1937	0.8735	0.5652
jgi-Asprub1-164161-estExt_Genewise1Plus.C_2090014	gray_zone	gray_zone_structure_supports_cazyme	-	A0A9Q9DPK0	59.9	5.386e-159	0.4503	0.8485	0.6873
jgi-Myclep1-1716856-estExt_Genewise1Plus.C_3490030	gray_zone	gray_zone_structure_supports_cazyme	-	A0A8H8P736	57.5	3.076e-136	0.3883	0.8148	0.6479
jgi-Mycami1-1217883-estExt_fgenesh1_pm.C_5_t10391	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A2K9NLG9	28.3	3.201e-18	0.082	0.8678	0.508
jgi-Metri1-6365-rna-gnl-WGS:AZHC-NOR_mRNA08163_NOR_08163	gray_zone	gray_zone_ambiguous_structure	-	A0A9Q8T6W8	46.3	8.182e-53	0.1798	0.7579	0.5294
jgi-Pincor1_1-96443-CE96442_3134	gray_zone	gray_zone_structure_supports_cazyme	-	A0A8F2W220	69.0	2.322e-229	0.6309	0.8587	0.7801
jgi-Suivar1-1540653-gm1.9362_g	gray_zone	gray_zone_structure_supports_cazyme	-	A0A7H8QK02	68.4	2.429e-119	0.3447	0.7723	0.6154
jgi-Aspneoi1-72895-CE72894_1613	gray_zone	gray_zone_structure_supports_cazyme	-	A0A3M6VGR8	51.4	3.073e-104	0.3141	0.8146	0.6107
jgi-Pismar1-1595804-CE1595803_1693	gray_zone	gray_zone_ambiguous_structure	-	A0A9Q8T231	50.2	1.501e-93	0.2827	0.8103	0.5939
jgi-FvanT299_1-120935-CE120934_1450	gray_zone	gray_zone_ambiguous_structure	-	A0A1S9DVV1	62.2	3.281e-71	0.2243	0.7895	0.5595
jgi-Pgt_201_B1-7844-rna-gnl-WGS:VSWC-PGT21_001816-T1_mrna	gray_zone	gray_zone_structure_supports_cazyme	-	QWU90274.1	44.8	2.752e-92	0.2827	0.8811	0.6116
jgi-Morbrun1-484295-fgenesh1_kg.4_#_259_#_TRINITY_DN6858_c0_g3_i2	gray_zone	gray_zone_structure_supports_cazyme	-	UOH82475.1	72.8	4.408e-133	0.377	0.8864	0.6601
jgi-PlePMI138_1-338226-fgenesh1_kg.8_#_107_#_TRINITY_DN4482_c0_g1_i2	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A023XE02	33.0	1.213e-06	0.0471	0.8523	0.4866
jgi-XylFL2044-427874-CE427873_13370	gray_zone	gray_zone_structure_supports_cazyme	-	A0A9Q8WAU1	69.7	6.459000000000001e-143	0.4058	0.8008	0.6531
jgi-Settu3-122795-Settu1.estExt_Genewise1.C_8_t10050	gray_zone	gray_zone_structure_supports_cazyme	-	A0A9Q8WMR9	53.3	1.5919999999999999e-146	0.4162	0.8785	0.6777
jgi-Anokam1-1512633-fgenesh1_kg.10_#_357_#_TRINITY_DN3292_c0_g1_i1	gray_zone	gray_zone_ambiguous_structure	-	A0A7R9BHT3	41.2	5.313e-31	0.1152	0.8572	0.5219
jgi-Stael1-413180-fgenesh1_pg.15_#_130	gray_zone	gray_zone_structure_supports_cazyme	-	A0A7U2MZ50	49.5	1.0409999999999999e-179	0.5131	0.8255	0.7129
jgi-Fusavent1-822892-fgenesh1_pm.3_#_36	gray_zone	gray_zone_structure_supports_cazyme	-	A0A8H8P5D7	66.3	6.882e-159	0.4468	0.8732	0.6917
jgi-Lepnud1-1118652-gw1.49.27.1	high_confidence_non_cazyme	high_confidence_non_cazyme	-	I3XFZ6	65.2	2.443e-08	0.048	0.7607	0.4642
jgi-FenlinCB54_1-593625-fgenesh1_kg.1_#_3610_#_TRINITY_DN4298_c0_g1_i3	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.4381	0.3595
jgi-ColoR110_1-139970-MIX12014_6_23	gray_zone	gray_zone_ambiguous_structure	-	A0A9Q8WJJ8	42.1	2.1610000000000002e-36	0.1309	0.8886	0.5376
jgi-Aspaff1-458658-CE458657_4522	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A212PJD6	54.1	6.751e-39	0.1318	0.9186	0.5455
