protein_id	genome_id	tax_class	tier	subtier	evidence_score	n_tools	recommend_family	dbcan_hmm_family	dbcan_sub_family	diamond_family	seq_length	foldseek_3di_best_hit	foldseek_3di_pident	foldseek_3di_evalue	foldseek_3di_bits_norm	saprot_cosine_to_cazyme_centroid	structure_evidence_score	adjudicated_tier
jgi-Parsed1-1090632-fgenesh1_kg.63_#_7_#_TRINITY_DN12389_c2_g1_i1	Parsed1	Blastocladiomycota	gray_zone	2B_gray_low	0.485	1	-	-	-	GH89	2256	M2QHQ6	46.5	1.066e-37	0.1375	0.8429	0.5295	gray_zone_ambiguous_structure
jgi-Parsed1-892524-CE892523_11425	Parsed1	Blastocladiomycota	gray_zone	2A_gray_high	0.57	1	-	-	-	GT2	857	QWU90274.1	44.0	3.034e-82	0.2585	0.8478	0.5912	gray_zone_ambiguous_structure
jgi-Parsed1-731853-CE731852_9377	Parsed1	Blastocladiomycota	gray_zone	2A_gray_high	0.684	1	-	-	-	GT22	338	A0A7H8R5I2	84.4	2.989e-161	0.4413	0.7874	0.6675	gray_zone_structure_supports_cazyme
jgi-Parsed1-1121152-gm1.494_g	Parsed1	Blastocladiomycota	gray_zone	2A_gray_high	0.526	1	-	-	-	GT57	1540	A0A804HX55	30.8	4.236e-10	0.0583	0.7905	0.4768	gray_zone_structure_supports_non_cazyme
jgi-Parsed1-1128244-gm1.7586_g	Parsed1	Blastocladiomycota	gray_zone	2A_gray_high	0.664	1	-	-	-	GT1	618	A0A9Q8WMR9	53.3	2.3090000000000003e-178	0.497	0.7489	0.6857	gray_zone_structure_supports_cazyme
jgi-Parsed1-1051405-fgenesh1_kg.4_#_1769_#_TRINITY_DN12691_c1_g1_i3	Parsed1	Blastocladiomycota	gray_zone	2A_gray_high	0.7759999999999999	1	-	-	-	GT2	258	A0A899G6P5	77.3	2.048e-120	0.3351	0.6982	0.5921	gray_zone_ambiguous_structure
jgi-Parsed1-1026798-e_gw1.13.99.1	Parsed1	Blastocladiomycota	gray_zone	2A_gray_high	0.63	1	-	-	-	GH115	294	A0A8S2A3C3	70.6	4.351e-102	0.2907	0.7936	0.5937	gray_zone_ambiguous_structure
jgi-Parsed1-1104423-fgenesh1_kg.128_#_100_#_TRINITY_DN11805_c2_g1_i2	Parsed1	Blastocladiomycota	gray_zone	2B_gray_low	0.297	1	-	-	-	GH154	945	C4ZAL1	52.2	1.3789999999999998e-29	0.114	0.578	0.4515	gray_zone_structure_supports_non_cazyme
jgi-Parsed1-1124614-gm1.3956_g	Parsed1	Blastocladiomycota	gray_zone	2B_gray_low	0.396	1	-	-	-	GH13_40	1145	ANZ19938.1	41.9	2.293e-15	0.074	0.5474	0.4238	gray_zone_structure_supports_non_cazyme
jgi-Parsed1-1041253-fgenesh1_pg.75_#_15	Parsed1	Blastocladiomycota	gray_zone	2A_gray_high	0.691	1	-	-	-	GH5_5	357	ARA85284.1	55.7	4.405e-81	0.2402	0.8404	0.5802	gray_zone_ambiguous_structure
jgi-Parsed1-584677-CE584676_6782	Parsed1	Blastocladiomycota	gray_zone	2B_gray_low	0.335	1	-	-	-	GT2	886	-	0.0		0.0	0.7856	0.4464	gray_zone_structure_supports_non_cazyme
jgi-Parsed1-1050873-fgenesh1_kg.4_#_1237_#_TRINITY_DN12823_c3_g1_i1	Parsed1	Blastocladiomycota	gray_zone	2B_gray_low	0.353	1	-	-	-	GT15	2167	WFD19281.1	41.7	5.761e-57	0.1923	0.6525	0.5093	gray_zone_structure_supports_non_cazyme
jgi-Parsed1-1029682-e_gw1.38.106.1	Parsed1	Blastocladiomycota	gray_zone	2B_gray_low	0.346	1	-	-	-	CBM67	756	W5IIK0	31.7	7.012e-11	0.0601	0.8368	0.4892	gray_zone_structure_supports_non_cazyme
jgi-Parsed1-295151-CE295150_8882	Parsed1	Blastocladiomycota	gray_zone	2A_gray_high	0.504	1	-	-	-	GH101	580	A0A9Q9DQE4	49.9	4.658e-126	0.3629	0.8539	0.6449	gray_zone_structure_supports_cazyme
jgi-Parsed1-1124149-gm1.3491_g	Parsed1	Blastocladiomycota	gray_zone	2B_gray_low	0.4539999999999999	1	-	-	-	GH5_31	1035	A0A6F8YXI1	63.1	0.0005381	0.0409	0.4677	0.3874	gray_zone_structure_supports_non_cazyme
